ImageId,Label
1,9
2,9
3,8
4,7
5,8
6,2
7,9
8,8
9,9
10,9
11,8
12,5
13,3
14,9
15,2
16,6
17,5
18,2
19,3
20,9
21,5
22,2
23,8
24,9
25,5
26,8
27,3
28,8
29,5
30,5
31,5
32,8
33,9
34,8
35,7
36,8
37,9
38,2
39,8
40,6
41,5
42,9
43,2
44,5
45,2
46,5
47,6
48,8
49,8
50,5
51,6
52,8
53,8
54,8
55,4
56,8
57,2
58,4
59,6
60,9
61,9
62,8
63,5
64,9
65,5
66,9
67,2
68,8
69,9
70,8
71,7
72,8
73,8
74,9
75,5
76,9
77,2
78,8
79,8
80,8
81,9
82,9
83,2
84,4
85,3
86,8
87,5
88,5
89,9
90,2
91,3
92,8
93,8
94,7
95,8
96,8
97,8
98,5
99,8
100,3
101,5
102,8
103,9
104,7
105,0
106,7
107,2
108,9
109,9
110,2
111,8
112,9
113,8
114,8
115,8
116,5
117,3
118,8
119,8
120,8
121,8
122,4
123,8
124,8
125,2
126,8
127,8
128,9
129,7
130,9
131,8
132,9
133,8
134,5
135,5
136,9
137,8
138,2
139,6
140,2
141,3
142,8
143,3
144,8
145,8
146,7
147,3
148,5
149,9
150,5
151,3
152,5
153,9
154,2
155,5
156,8
157,3
158,9
159,8
160,8
161,8
162,4
163,5
164,2
165,8
166,8
167,9
168,2
169,2
170,9
171,5
172,5
173,3
174,9
175,8
176,8
177,5
178,5
179,2
180,5
181,3
182,8
183,8
184,2
185,2
186,3
187,3
188,2
189,2
190,5
191,9
192,8
193,2
194,5
195,2
196,5
197,3
198,4
199,6
200,2
201,8
202,9
203,4
204,2
205,4
206,9
207,8
208,5
209,8
210,2
211,5
212,8
213,8
214,2
215,7
216,4
217,7
218,4
219,2
220,5
221,8
222,8
223,1
224,9
225,5
226,8
227,0
228,7
229,9
230,9
231,9
232,2
233,2
234,8
235,5
236,5
237,5
238,8
239,6
240,9
241,2
242,7
243,8
244,8
245,9
246,9
247,2
248,8
249,8
250,9
251,5
252,3
253,8
254,8
255,8
256,3
257,8
258,8
259,8
260,8
261,4
262,2
263,8
264,9
265,8
266,5
267,7
268,8
269,2
270,8
271,8
272,5
273,2
274,8
275,8
276,2
277,8
278,9
279,8
280,5
281,9
282,5
283,8
284,9
285,8
286,8
287,4
288,2
289,5
290,9
291,8
292,8
293,9
294,5
295,5
296,6
297,8
298,2
299,2
300,8
301,9
302,5
303,9
304,5
305,8
306,8
307,2
308,8
309,5
310,8
311,9
312,9
313,5
314,8
315,8
316,5
317,4
318,2
319,8
320,2
321,5
322,8
323,8
324,3
325,8
326,2
327,8
328,2
329,8
330,5
331,9
332,8
333,8
334,8
335,8
336,8
337,9
338,8
339,4
340,4
341,2
342,5
343,2
344,8
345,5
346,7
347,8
348,8
349,4
350,8
351,6
352,3
353,5
354,0
355,9
356,8
357,9
358,5
359,8
360,5
361,8
362,8
363,8
364,8
365,6
366,4
367,8
368,5
369,2
370,3
371,5
372,8
373,2
374,5
375,8
376,7
377,5
378,9
379,8
380,5
381,3
382,5
383,9
384,5
385,9
386,9
387,9
388,2
389,8
390,9
391,2
392,5
393,4
394,2
395,7
396,2
397,8
398,8
399,2
400,6
401,3
402,9
403,4
404,8
405,7
406,8
407,5
408,2
409,8
410,8
411,8
412,8
413,3
414,8
415,8
416,9
417,2
418,2
419,8
420,2
421,5
422,8
423,2
424,5
425,8
426,2
427,3
428,2
429,8
430,8
431,3
432,8
433,8
434,8
435,9
436,7
437,8
438,5
439,2
440,9
441,8
442,3
443,2
444,2
445,8
446,5
447,3
448,8
449,8
450,4
451,8
452,8
453,2
454,5
455,8
456,5
457,8
458,8
459,7
460,8
461,2
462,9
463,8
464,9
465,5
466,2
467,4
468,8
469,3
470,4
471,2
472,3
473,8
474,9
475,6
476,7
477,5
478,8
479,8
480,4
481,3
482,6
483,8
484,3
485,2
486,5
487,9
488,5
489,8
490,5
491,3
492,2
493,6
494,2
495,3
496,9
497,9
498,8
499,5
500,7
501,2
502,8
503,5
504,5
505,8
506,9
507,8
508,8
509,9
510,7
511,9
512,4
513,8
514,5
515,8
516,8
517,8
518,8
519,2
520,6
521,3
522,5
523,7
524,5
525,9
526,8
527,9
528,2
529,2
530,5
531,9
532,3
533,8
534,8
535,8
536,5
537,2
538,8
539,3
540,9
541,9
542,8
543,8
544,8
545,9
546,8
547,7
548,2
549,8
550,7
551,8
552,9
553,9
554,8
555,8
556,9
557,5
558,9
559,2
560,8
561,5
562,9
563,8
564,8
565,9
566,8
567,6
568,2
569,8
570,5
571,5
572,9
573,8
574,6
575,5
576,5
577,8
578,8
579,5
580,4
581,8
582,8
583,4
584,8
585,5
586,6
587,8
588,2
589,8
590,5
591,8
592,9
593,8
594,5
595,8
596,6
597,5
598,2
599,5
600,8
601,8
602,2
603,5
604,7
605,2
606,3
607,8
608,3
609,7
610,9
611,5
612,2
613,9
614,8
615,2
616,2
617,5
618,8
619,5
620,5
621,6
622,8
623,3
624,3
625,9
626,6
